"NAME","EXTERNAL ID","DATA CENTER","ERROR"
"hostname: Unknown host","hostname: Unknown host","","Duplicate external id specified: hostname: unknown host"
"HUSKYDEV1","HUSKYDEV1","","Duplicate external id specified: huskydev1"
"HUSKYDEV1","HUSKYDEV1","","Duplicate external id specified: huskydev1"
"HUSKYDEV3","HUSKYDEV3","","Duplicate external id specified: huskydev3"
"huskydev3","huskydev3","","Duplicate external id specified: huskydev3"
"LIMREFCH01","LIMREFCH01","","Duplicate external id specified: limrefch01"
"limrefch01","limrefch01","","Duplicate external id specified: limrefch01"
"limrefmbx01","limrefmbx01","","Duplicate external id specified: limrefmbx01"
"LIMREFMBX01","LIMREFMBX01","","Duplicate external id specified: limrefmbx01"
"LIROPS1","LIROPS1","","Duplicate external id specified: lirops1"
"LIROPS1","LIROPS1","","Duplicate external id specified: lirops1"
"LIRPI1","LIRPI1","","Duplicate external id specified: lirpi1"
"LIRPI1","LIRPI1","","Duplicate external id specified: lirpi1"
"LIRSCOM1","LIRSCOM1","","Duplicate external id specified: lirscom1"
"LIRSCOM1","LIRSCOM1","","Duplicate external id specified: lirscom1"
"LIRSQL2","LIRSQL2","","Duplicate external id specified: lirsql2"
"LIRSQL2","LIRSQL2","","Duplicate external id specified: lirsql2"
"LIRVBLS1","LIRVBLS1","","Duplicate external id specified: lirvbls1"
"LIRVBLS1","LIRVBLS1","","Duplicate external id specified: lirvbls1"
"LIRWSUS1","LIRWSUS1","","Duplicate external id specified: lirwsus1"
"LIRWSUS1","LIRWSUS1","","Duplicate external id specified: lirwsus1"
"lnf001new.hq","lnf001new.hq","","Duplicate external id specified: lnf001new.hq"
"lnf001new.hq","lnf001new.hq","","Duplicate external id specified: lnf001new.hq"
"LSBASHLU","LSBASHLU","","Duplicate external id specified: lsbashlu"
"LSBASHLU","LSBASHLU","","Duplicate external id specified: lsbashlu"
"LSBASHPL","LSBASHPL","","Duplicate external id specified: lsbashpl"
"LSBASHPL","LSBASHPL","","Duplicate external id specified: lsbashpl"
"MAC12020268","MAC12020268","","Duplicate external id specified: mac12020268"
"MAC12020268","MAC12020268","","Duplicate external id specified: mac12020268"
"ROBS-MACBOOK-AIR.LOCAL","ROBS-MACBOOK-AIR.LOCAL","","Duplicate external id specified: robs-macbook-air.local"
"ROBS-MACBOOK-AIR.LOCAL","ROBS-MACBOOK-AIR.LOCAL","","Duplicate external id specified: robs-macbook-air.local"
"RRHDC002","RRHDC002","","Duplicate external id specified: rrhdc002"
"RRHDC002","RRHDC002","WCP Data Center","Duplicate external id specified: rrhdc002"
"STX007","STX007","","Duplicate external id specified: stx007"
