"NAME","EXTERNAL ID","DATA CENTER","ERROR"
"CLS335","CLS335","Rogers CoLo Data Center","DUPLICATE_VALUE:Duplicate external id specified: cls335
Error fields: External_Id__c "
"COS005","COS005","","DUPLICATE_VALUE:Duplicate external id specified: cos005
Error fields: External_Id__c "
"COS005","COS005","","DUPLICATE_VALUE:Duplicate external id specified: cos005
Error fields: External_Id__c "
"CTXWIT1","CTXWIT1","","DUPLICATE_VALUE:Duplicate external id specified: ctxwit1
Error fields: External_Id__c "
"CTXWIT1","CTXWIT1","","DUPLICATE_VALUE:Duplicate external id specified: ctxwit1
Error fields: External_Id__c "
"CTXWIT2","CTXWIT2","","DUPLICATE_VALUE:Duplicate external id specified: ctxwit2
Error fields: External_Id__c "
"CTXWIT2","CTXWIT2","","DUPLICATE_VALUE:Duplicate external id specified: ctxwit2
Error fields: External_Id__c "
"cvapl039","cvapl039","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cvapl039
Error fields: External_Id__c "
"cvapl039","cvapl039","","DUPLICATE_VALUE:Duplicate external id specified: cvapl039
Error fields: External_Id__c "
"cwf093","cwf093","","DUPLICATE_VALUE:Duplicate external id specified: cwf093
Error fields: External_Id__c "
"cwf093","cwf093","","DUPLICATE_VALUE:Duplicate external id specified: cwf093
Error fields: External_Id__c "
"CWF1058","CWF1058","","DUPLICATE_VALUE:Duplicate external id specified: cwf1058
Error fields: External_Id__c "
"CWF1058","CWF1058","","DUPLICATE_VALUE:Duplicate external id specified: cwf1058
Error fields: External_Id__c "
"CWF211","CWF211","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cwf211
Error fields: External_Id__c "
"CWF211","CWF211","","DUPLICATE_VALUE:Duplicate external id specified: cwf211
Error fields: External_Id__c "
"CWF229","CWF229","","DUPLICATE_VALUE:Duplicate external id specified: cwf229
Error fields: External_Id__c "
"CWF229","CWF229","","DUPLICATE_VALUE:Duplicate external id specified: cwf229
Error fields: External_Id__c "
"CWF245","CWF245","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cwf245
Error fields: External_Id__c "
"cwf245","cwf245","","DUPLICATE_VALUE:Duplicate external id specified: cwf245
Error fields: External_Id__c "
"cwf252","cwf252","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cwf252
Error fields: External_Id__c "
"CWF252","CWF252","WCP data centre","DUPLICATE_VALUE:Duplicate external id specified: cwf252
Error fields: External_Id__c "
"CWF3000","CWF3000","","DUPLICATE_VALUE:Duplicate external id specified: cwf3000
Error fields: External_Id__c "
"CWF3000","CWF3000","Rogers CoLo Data Center","DUPLICATE_VALUE:Duplicate external id specified: cwf3000
Error fields: External_Id__c "
"CWF3120","CWF3120","Rogers Airdrie - New Data Center","DUPLICATE_VALUE:Duplicate external id specified: cwf3120
Error fields: External_Id__c "
"CWF3120","CWF3120","","DUPLICATE_VALUE:Duplicate external id specified: cwf3120
Error fields: External_Id__c "
"CWF397","CWF397","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: cwf397
Error fields: External_Id__c "
"CWF397","CWF397","","DUPLICATE_VALUE:Duplicate external id specified: cwf397
Error fields: External_Id__c "
"CWF415","CWF415","","DUPLICATE_VALUE:Duplicate external id specified: cwf415
Error fields: External_Id__c "
"CWF415","CWF415","","DUPLICATE_VALUE:Duplicate external id specified: cwf415
Error fields: External_Id__c "
"CWF744","CWF744","","DUPLICATE_VALUE:Duplicate external id specified: cwf744
Error fields: External_Id__c "
"CWF744","CWF744","","DUPLICATE_VALUE:Duplicate external id specified: cwf744
Error fields: External_Id__c "
"CWF828","CWF828","","DUPLICATE_VALUE:Duplicate external id specified: cwf828
Error fields: External_Id__c "
"CWF828","CWF828","","DUPLICATE_VALUE:Duplicate external id specified: cwf828
Error fields: External_Id__c "
"hostname: Unknown host
","hostname: Unknown host
","","DUPLICATE_VALUE:Duplicate external id specified: hostname: unknown host
Error fields: External_Id__c "
"hostname: Unknown host","hostname: Unknown host","","DUPLICATE_VALUE:Duplicate external id specified: hostname: unknown host
Error fields: External_Id__c "
"hostname: Unknown host","hostname: Unknown host","","DUPLICATE_VALUE:Duplicate external id specified: hostname: unknown host
Error fields: External_Id__c "
"hostname: Unknown host","hostname: Unknown host","","DUPLICATE_VALUE:Duplicate external id specified: hostname: unknown host
Error fields: External_Id__c "
"HUSKYDEV1","HUSKYDEV1","","DUPLICATE_VALUE:Duplicate external id specified: huskydev1
Error fields: External_Id__c "
"HUSKYDEV1","HUSKYDEV1","","DUPLICATE_VALUE:Duplicate external id specified: huskydev1
Error fields: External_Id__c "
"HUSKYDEV3","HUSKYDEV3","","DUPLICATE_VALUE:Duplicate external id specified: huskydev3
Error fields: External_Id__c "
"huskydev3","huskydev3","","DUPLICATE_VALUE:Duplicate external id specified: huskydev3
Error fields: External_Id__c "
"LIMREFCH01","LIMREFCH01","","DUPLICATE_VALUE:Duplicate external id specified: limrefch01
Error fields: External_Id__c "
"limrefch01","limrefch01","","DUPLICATE_VALUE:Duplicate external id specified: limrefch01
Error fields: External_Id__c "
"limrefmbx01","limrefmbx01","","DUPLICATE_VALUE:Duplicate external id specified: limrefmbx01
Error fields: External_Id__c "
"LIMREFMBX01","LIMREFMBX01","","DUPLICATE_VALUE:Duplicate external id specified: limrefmbx01
Error fields: External_Id__c "
"LIROPS1","LIROPS1","","DUPLICATE_VALUE:Duplicate external id specified: lirops1
Error fields: External_Id__c "
"LIROPS1","LIROPS1","","DUPLICATE_VALUE:Duplicate external id specified: lirops1
Error fields: External_Id__c "
"LIRPI1","LIRPI1","","DUPLICATE_VALUE:Duplicate external id specified: lirpi1
Error fields: External_Id__c "
"LIRPI1","LIRPI1","","DUPLICATE_VALUE:Duplicate external id specified: lirpi1
Error fields: External_Id__c "
"LIRSCOM1","LIRSCOM1","","DUPLICATE_VALUE:Duplicate external id specified: lirscom1
Error fields: External_Id__c "
"LIRSCOM1","LIRSCOM1","","DUPLICATE_VALUE:Duplicate external id specified: lirscom1
Error fields: External_Id__c "
"LIRSQL2","LIRSQL2","","DUPLICATE_VALUE:Duplicate external id specified: lirsql2
Error fields: External_Id__c "
"LIRSQL2","LIRSQL2","","DUPLICATE_VALUE:Duplicate external id specified: lirsql2
Error fields: External_Id__c "
"LIRVBLS1","LIRVBLS1","","DUPLICATE_VALUE:Duplicate external id specified: lirvbls1
Error fields: External_Id__c "
"LIRVBLS1","LIRVBLS1","","DUPLICATE_VALUE:Duplicate external id specified: lirvbls1
Error fields: External_Id__c "
"LIRWSUS1","LIRWSUS1","","DUPLICATE_VALUE:Duplicate external id specified: lirwsus1
Error fields: External_Id__c "
"LIRWSUS1","LIRWSUS1","","DUPLICATE_VALUE:Duplicate external id specified: lirwsus1
Error fields: External_Id__c "
"lnf001new.hq","lnf001new.hq","","DUPLICATE_VALUE:Duplicate external id specified: lnf001new.hq
Error fields: External_Id__c "
"lnf001new.hq","lnf001new.hq","","DUPLICATE_VALUE:Duplicate external id specified: lnf001new.hq
Error fields: External_Id__c "
"LSBASHLU","LSBASHLU","","DUPLICATE_VALUE:Duplicate external id specified: lsbashlu
Error fields: External_Id__c "
"LSBASHLU","LSBASHLU","","DUPLICATE_VALUE:Duplicate external id specified: lsbashlu
Error fields: External_Id__c "
"LSBASHPL","LSBASHPL","","DUPLICATE_VALUE:Duplicate external id specified: lsbashpl
Error fields: External_Id__c "
"LSBASHPL","LSBASHPL","","DUPLICATE_VALUE:Duplicate external id specified: lsbashpl
Error fields: External_Id__c "
"MAC12020268","MAC12020268","","DUPLICATE_VALUE:Duplicate external id specified: mac12020268
Error fields: External_Id__c "
"MAC12020268","MAC12020268","","DUPLICATE_VALUE:Duplicate external id specified: mac12020268
Error fields: External_Id__c "
"ROBS-MACBOOK-AIR.LOCAL","ROBS-MACBOOK-AIR.LOCAL","","DUPLICATE_VALUE:Duplicate external id specified: robs-macbook-air.local
Error fields: External_Id__c "
"ROBS-MACBOOK-AIR.LOCAL","ROBS-MACBOOK-AIR.LOCAL","","DUPLICATE_VALUE:Duplicate external id specified: robs-macbook-air.local
Error fields: External_Id__c "
"RRHDC002","RRHDC002","","DUPLICATE_VALUE:Duplicate external id specified: rrhdc002
Error fields: External_Id__c "
"RRHDC002","RRHDC002","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: rrhdc002
Error fields: External_Id__c "
"STX007","STX007","","DUPLICATE_VALUE:Duplicate external id specified: stx007
Error fields: External_Id__c "
"STX007","STX007","","DUPLICATE_VALUE:Duplicate external id specified: stx007
Error fields: External_Id__c "
"SWF032","SWF032","","DUPLICATE_VALUE:Duplicate external id specified: swf032
Error fields: External_Id__c "
"swf032","swf032","","DUPLICATE_VALUE:Duplicate external id specified: swf032
Error fields: External_Id__c "
"SXCH10","SXCH10","","DUPLICATE_VALUE:Duplicate external id specified: sxch10
Error fields: External_Id__c "
"sxch10","sxch10","","DUPLICATE_VALUE:Duplicate external id specified: sxch10
Error fields: External_Id__c "
"SXCH11","SXCH11","","DUPLICATE_VALUE:Duplicate external id specified: sxch11
Error fields: External_Id__c "
"sxch11","sxch11","","DUPLICATE_VALUE:Duplicate external id specified: sxch11
Error fields: External_Id__c "
"sxhub03","sxhub03","","DUPLICATE_VALUE:Duplicate external id specified: sxhub03
Error fields: External_Id__c "
"sxhub03","sxhub03","","DUPLICATE_VALUE:Duplicate external id specified: sxhub03
Error fields: External_Id__c "
"sxmbx03","sxmbx03","","DUPLICATE_VALUE:Duplicate external id specified: sxmbx03
Error fields: External_Id__c "
"sxmbx03","sxmbx03","","DUPLICATE_VALUE:Duplicate external id specified: sxmbx03
Error fields: External_Id__c "
"TLHSQL003PD","TLHSQL003PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: tlhsql003pd
Error fields: External_Id__c "
"TLHSQL003PD","TLHSQL003PD","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: tlhsql003pd
Error fields: External_Id__c "
"vsad3ci1","vsad3ci1","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: vsad3ci1
Error fields: External_Id__c "
"VSAD3CI1","VSAD3CI1","WCP Data Center","DUPLICATE_VALUE:Duplicate external id specified: vsad3ci1
Error fields: External_Id__c "
