ruledefaultname,monitorInstance,time,minvalue,avgvalue,maxvalue,server,serverid,metric,type,external id,unit
Percent Memory Used,_self,2017-11-10T12:00:00Z,64.74914862,64.93124208,66.91799357,CGWAPP1043PD.hq.huskyenergy.com,CGWAPP1043PD,Memory Utilization,Baseline,CGWAPP1043PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,65.20082177,65.43784845,65.67487512,CGWAPP1044PD.hq.huskyenergy.com,CGWAPP1044PD,Memory Utilization,Baseline,CGWAPP1044PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,36.90012539,38.00402005,39.59795326,CGWAPP1138PD.hq.huskyenergy.com,CGWAPP1138PD,Memory Utilization,Baseline,CGWAPP1138PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,23.28821123,25.51322747,28.50487329,CGWAPP1141PD.hq.huskyenergy.com,CGWAPP1141PD,Memory Utilization,Baseline,CGWAPP1141PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,19.35814051,20.60125728,22.35504885,CGWAPP1144PD.hq.huskyenergy.com,CGWAPP1144PD,Memory Utilization,Baseline,CGWAPP1144PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,42.21112183,42.81809087,43.99642463,CGWAPP1185PD.hq.huskyenergy.com,CGWAPP1185PD,Memory Utilization,Baseline,CGWAPP1185PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,69.01807455,70.0335627,75.99755283,CGWAPP245PD.hq.huskyenergy.com,CGWAPP245PD,Memory Utilization,Baseline,CGWAPP245PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,76.2523946,88.6179841,97.33877075,CGWAPP249PD.hq.huskyenergy.com,CGWAPP249PD,Memory Utilization,Baseline,CGWAPP249PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,60.59356101,69.06015229,88.1341206,CGWAPP393PD.hq.huskyenergy.com,CGWAPP393PD,Memory Utilization,Baseline,CGWAPP393PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,70.93347855,76.35369507,99.60935376,CGWAPP429PD.hq.huskyenergy.com,CGWAPP429PD,Memory Utilization,Baseline,CGWAPP429PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,47.45522489,53.79136297,59.15083236,CGWAPP525PD,CGWAPP525PD,Memory Utilization,Baseline,CGWAPP525PD-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,89.0985285,90.20942873,91.14942123,CGWAPP544PD.hq.huskyenergy.com,CGWAPP544PD,Memory Utilization,Baseline,CGWAPP544PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,73.8999484,81.11957914,93.18810627,CGWAPP547PD.hq.huskyenergy.com,CGWAPP547PD,Memory Utilization,Baseline,CGWAPP547PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,94.96945577,95.18923683,99.169716,CGWAPP588PD.hq.huskyenergy.com,CGWAPP588PD,Memory Utilization,Baseline,CGWAPP588PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,36.10666183,39.83397668,50.01084834,CGWAPP629PD.hq.huskyenergy.com,CGWAPP629PD,Memory Utilization,Baseline,CGWAPP629PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
Percent Memory Used,_self,2017-11-10T12:00:00Z,47.23834284,47.66764678,50.85182052,CGWAPP651PD.hq.huskyenergy.com,CGWAPP651PD,Memory Utilization,Baseline,CGWAPP651PD.hq.huskyenergy.com-Memory Utilization-_self-Baseline,MB
