Name,External Id,Data Center
btl09080309.hq,btl09080309.hq,
BTL09080311,BTL09080311,
BTL09080312,BTL09080312,
BTL09080315,BTL09080315,WCP Data Center
BTL11060101,BTL11060101,WCP Data Center
btl11060102,btl11060102,
btl11060102,btl11060102,
btl11060103,btl11060103,
BTL12010601,BTL12010601,
BTL12010602,BTL12010602,
BTL12022901,BTL12022901,WCP Data Center
btl12022902.hq,btl12022902.hq,
BTL12022903,BTL12022903,WCP Data Center
BURTT-SH560,BURTT-SH560,
cag01,cag01,
cag02,cag02,
cag03,cag03,
cag04,cag04,
cag07,cag07,
cag08,cag08,
CAL-05-RB-INT9350-001,CAL-05-RB-INT9350-001,WCP Data Center
CAL-05-RB-INT9350-002,CAL-05-RB-INT9350-002,WCP Data Center
cal-05-sh1260-prim.hq,cal-05-sh1260-prim.hq,WCP Data Center
cal-05-sh5055-prim.hq,cal-05-sh5055-prim.hq,WCP Data Center
CAL-WCPFW-01,CAL-WCPFW-01,
CALBCPLRS203,CALBCPLRS203,
capl001,capl001,WCP Data Center
capl002,capl002,Rogers CoLo Data Center
CDD001,CDD001,Rogers CoLo Data Center
cdd001b,cdd001b,Rogers CoLo Data Center
cdd001c,cdd001c,
CDD002,CDD002,WCP Data Center
cdd002b,cdd002b,
cdd002c,cdd002c,
CDSSMTP001PD,CDSSMTP001PD,
CDSXCHM001PD,CDSXCHM001PD,
cf2-vcenter-01.hq,cf2-vcenter-01.hq,
cf2-vsql-01.hq,cf2-vsql-01.hq,
cfs015,cfs015,
cfs015.hq,cfs015.hq,
CGAAPP1018PD,CGAAPP1018PD,Rogers Airdrie - New Data Center
CGAAPP708PD,CGAAPP708PD,
CGAAPP726PP,CGAAPP726PP,
CGAAPP727PP,CGAAPP727PP,
CGAAPP728PP,CGAAPP728PP,
CGAAPP729PP,CGAAPP729PP,
CGAAPP730PP,CGAAPP730PP,
CGAAPP731PP,CGAAPP731PP,
CGAAPP798PD,CGAAPP798PD,Rogers Airdrie - New Data Center
CGAAPP799PD,CGAAPP799PD,Rogers Airdrie - New Data Center
CGAAPP802PD,CGAAPP802PD,Rogers Airdrie - New Data Center
CGAAPP812PD,CGAAPP812PD,
CGAAPP813PD,CGAAPP813PD,
CGAAPP912TS,CGAAPP912TS,
CGADC01,CGADC01,Rogers Airdrie - New Data Center
CGADC01-New,CGADC01-New,Rogers Airdrie - New Data Center
CGADC02,CGADC02,
CGADFS803PD,CGADFS803PD,
CGADFS804PD,CGADFS804PD,
CGADHCP01,CGADHCP01,Rogers Airdrie - New Data Center
CGADHCP801PD,CGADHCP801PD,
CGADMIN001NP,CGADMIN001NP,
CGADMIN001PD,CGADMIN001PD,
CGAIGN001PD,CGAIGN001PD,Rogers Airdrie - New Data Center
CGAIGN002PD,CGAIGN002PD,Rogers Airdrie - New Data Center
CGAIGN003PD,CGAIGN003PD,Rogers Airdrie - New Data Center
CGAIGN004PD,CGAIGN004PD,Rogers Airdrie - New Data Center
CGAIGN005PD,CGAIGN005PD,Rogers Airdrie - New Data Center
CGAIGN006PD,CGAIGN006PD,Rogers Airdrie - New Data Center
CGAIGN007PD,CGAIGN007PD,Rogers Airdrie - New Data Center
CGAIGN009PD,CGAIGN009PD,Rogers Airdrie - New Data Center
CGAIGN010PD,CGAIGN010PD,Rogers Airdrie - New Data Center
CGANWR1100PD,CGANWR1100PD,
CGANWR1150PD,CGANWR1150PD,
CGANWR1151PD,CGANWR1151PD,
CGASAPSRM01,CGASAPSRM01,Rogers Airdrie - New Data Center
CGASAPVRA01,CGASAPVRA01,Rogers Airdrie - New Data Center
CGASAPVRA02,CGASAPVRA02,Rogers Airdrie - New Data Center
CGASCOM001PD,CGASCOM001PD,Rogers Airdrie - New Data Center
CGASCOM002PD,CGASCOM002PD,Rogers Airdrie - New Data Center
CGASCOM003PD,CGASCOM003PD,Rogers Airdrie - New Data Center
CGASQL707PD,CGASQL707PD,
CGASQL800PD,CGASQL800PD,Rogers Airdrie - New Data Center
CGASSO806PD,CGASSO806PD,
CGAVCCP01,CGAVCCP01,Rogers Airdrie - New Data Center
CGAVCMGT01,CGAVCMGT01,Rogers Airdrie - New Data Center
CGAVCOLL01,CGAVCOLL01,Rogers Airdrie - New Data Center
CGAVCOLL02,CGAVCOLL02,Rogers Airdrie - New Data Center
CGAVCPRD01,CGAVCPRD01,Rogers Airdrie - New Data Center
CGAVCSAP01,CGAVCSAP01,Rogers Airdrie - New Data Center
CGAVCVDI01,CGAVCVDI01,Rogers Airdrie - New Data Center
CGAVDICB01,CGAVDICB01,Rogers Airdrie - New Data Center
CGAVDICB02,CGAVDICB02,Rogers Airdrie - New Data Center
CGAVDISRM01,CGAVDISRM01,Rogers Airdrie - New Data Center
CGAVDIVRA01,CGAVDIVRA01,Rogers Airdrie - New Data Center
CGAVDIVRA02,CGAVDIVRA02,Rogers Airdrie - New Data Center
CGAVIDM02,CGAVIDM02,Rogers Airdrie - New Data Center
CGAVMCONV01,CGAVMCONV01,Rogers Airdrie - New Data Center
CGAVROPS01,CGAVROPS01,Rogers Airdrie - New Data Center
CGAVROPS02,CGAVROPS02,Rogers Airdrie - New Data Center
CGAVUMMGT01,CGAVUMMGT01,Rogers Airdrie - New Data Center
CGAVUMPRD01,CGAVUMPRD01,Rogers Airdrie - New Data Center
CGAVUMSAP01,CGAVUMSAP01,Rogers Airdrie - New Data Center
CGAVUMVDI01,CGAVUMVDI01,Rogers Airdrie - New Data Center
CGAWCOMSQL002PD,CGAWCOMSQL002PD,Rogers Airdrie - New Data Center
CGCADMIN001NP,CGCADMIN001NP,
CGCADMIN001PD,CGCADMIN001PD,
CGCAPP1000TS,CGCAPP1000TS,
CGCAPP1001TS,CGCAPP1001TS,
CGCAPP1002DV,CGCAPP1002DV,
CGCAPP1003DV,CGCAPP1003DV,
CGCAPP1003PD,CGCAPP1003PD,Rogers CoLo Data Center
CGCAPP1004DV,CGCAPP1004DV,
CGCAPP1005QA,CGCAPP1005QA,
CGCAPP1006DV,CGCAPP1006DV,Rogers CoLo Data Center
CGCAPP1006QA,CGCAPP1006QA,
CGCAPP1007QA,CGCAPP1007QA,
CGCAPP1013QA,CGCAPP1013QA,
CGCAPP1026DV,CGCAPP1026DV,Rogers CoLo Data Center
CGCAPP1027DV,CGCAPP1027DV,Rogers CoLo Data Center
CGCAPP1041TS,CGCAPP1041TS,
CGCAPP1067PS,CGCAPP1067PS,
CGCAPP1068PS,CGCAPP1068PS,
CGCAPP1071DV,CGCAPP1071DV,
CGCAPP1076DV,CGCAPP1076DV,Rogers CoLo Data Center
CGCAPP1077DV,CGCAPP1077DV,Rogers CoLo Data Center
CGCAPP1079PS,CGCAPP1079PS,Rogers CoLo Data Center
CGCAPP1080QA,CGCAPP1080QA,Rogers CoLo Data Center
CGCAPP1081TS,CGCAPP1081TS,Rogers CoLo Data Center
CGCAPP1090QA,CGCAPP1090QA,
CGCAPP1091QA,CGCAPP1091QA,
CGCAPP1092TS,CGCAPP1092TS,Rogers CoLo Data Center
CGCAPP1108DV,CGCAPP1108DV,Rogers CoLo Data Center
CGCAPP1110TS,CGCAPP1110TS,Rogers CoLo Data Center
CGCAPP1111TS,CGCAPP1111TS,Rogers CoLo Data Center
CGCAPP1118TS,CGCAPP1118TS,Rogers CoLo Data Center
CGCAPP1121PS,CGCAPP1121PS,Rogers CoLo Data Center
CGCAPP1131DV,CGCAPP1131DV,Rogers CoLo Data Center
CGCAPP1145NP,CGCAPP1145NP,
CGCAPP1154TS,CGCAPP1154TS,Rogers CoLo Data Center
CGCAPP1155TS,CGCAPP1155TS,Rogers CoLo Data Center
CGCAPP1157DV,CGCAPP1157DV,Rogers CoLo Data Center
CGCAPP1158DV,CGCAPP1158DV,Rogers CoLo Data Center
CGCAPP1159TR,CGCAPP1159TR,Rogers CoLo Data Center
CGCAPP1164TS,CGCAPP1164TS,Rogers CoLo Data Center
CGCAPP1165TS,CGCAPP1165TS,Rogers CoLo Data Center
CGCAPP1166QA,CGCAPP1166QA,Rogers CoLo Data Center
CGCAPP1167QA,CGCAPP1167QA,Rogers CoLo Data Center
CGCAPP1168QA,CGCAPP1168QA,Rogers CoLo Data Center
CGCAPP1169TS,CGCAPP1169TS,Rogers CoLo Data Center
CGCAPP1176TS,CGCAPP1176TS,Rogers CoLo Data Center
CGCAPP1180TS,CGCAPP1180TS,Rogers CoLo Data Center
CGCAPP1187DV,CGCAPP1187DV,Rogers CoLo Data Center
CGCAPP1188TS,CGCAPP1188TS,Rogers CoLo Data Center
CGCAPP246PD,CGCAPP246PD,Rogers CoLo Data Center
CGCAPP247PD,CGCAPP247PD,Rogers CoLo Data Center
CGCAPP261TS,CGCAPP261TS,WCP Data Center
CGCAPP262DV,CGCAPP262DV,Rogers CoLo Data Center
CGCAPP272QA,CGCAPP272QA,
CGCAPP273DV,CGCAPP273DV,
CGCAPP304PS,CGCAPP304PS,Rogers CoLo Data Center
CGCAPP374TS,CGCAPP374TS,
CGCAPP375TS,CGCAPP375TS,
CGCAPP376TS,CGCAPP376TS,
cgcapp379pd,cgcapp379pd,Rogers CoLo Data Center
CGCAPP383TS,CGCAPP383TS,Rogers CoLo Data Center
CGCAPP388TR,CGCAPP388TR,Rogers CoLo Data Center
CGCAPP389SB,CGCAPP389SB,
CGCAPP395TS,CGCAPP395TS,Rogers CoLo Data Center
CGCAPP396TS,CGCAPP396TS,Rogers CoLo Data Center
CGCAPP399QA,CGCAPP399QA,Rogers CoLo Data Center
CGCAPP400TR,CGCAPP400TR,Rogers CoLo Data Center
cgcapp403dv.hq  - Can be decommissioned.,cgcapp403dv.hq  - Can be decommissioned.,
cgcapp408dv,cgcapp408dv,Rogers CoLo Data Center
CGCAPP410QA,CGCAPP410QA,
CGCAPP416PD,CGCAPP416PD,Rogers CoLo Data Center
CGCAPP425TS,CGCAPP425TS,Rogers CoLo Data Center
CGCAPP426TS,CGCAPP426TS,Rogers CoLo Data Center
cgcapp427ts,cgcapp427ts,Rogers CoLo Data Center
CGCAPP432PD,CGCAPP432PD,
CGCAPP437PD,CGCAPP437PD,Rogers CoLo Data Center
CGCAPP441PD,CGCAPP441PD,Rogers CoLo Data Center
CGCAPP442TS,CGCAPP442TS,Rogers CoLo Data Center
cgcapp447dv,cgcapp447dv,Rogers CoLo Data Center
cgcapp448qa,cgcapp448qa,Rogers CoLo Data Center
cgcapp458ts,cgcapp458ts,Rogers CoLo Data Center
CGCAPP462DV,CGCAPP462DV,Rogers CoLo Data Center
cgcapp463dv,cgcapp463dv,Rogers CoLo Data Center
CGCAPP464DV,CGCAPP464DV,Rogers CoLo Data Center
cgcapp465ts,cgcapp465ts,
cgcapp466ts,cgcapp466ts,
CGCAPP467TS,CGCAPP467TS,Rogers CoLo Data Center
CGCAPP469PD,CGCAPP469PD,Rogers CoLo Data Center
CGCAPP477PS,CGCAPP477PS,
CGCAPP478DV,CGCAPP478DV,Rogers CoLo Data Center
CGCAPP482TS,CGCAPP482TS,
CGCAPP483TS,CGCAPP483TS,
CGCAPP487TS,CGCAPP487TS,Rogers CoLo Data Center
CGCAPP488TS,CGCAPP488TS,Rogers CoLo Data Center
CGCAPP493TS,CGCAPP493TS,Rogers CoLo Data Center
CGCAPP504PD,CGCAPP504PD,Rogers CoLo Data Center
CGCAPP505PD,CGCAPP505PD,Rogers CoLo Data Center
CGCAPP506DV,CGCAPP506DV,Rogers CoLo Data Center
CGCAPP512DV,CGCAPP512DV,Rogers CoLo Data Center
CGCAPP513DV,CGCAPP513DV,Rogers CoLo Data Center
CGCAPP514DV,CGCAPP514DV,Rogers CoLo Data Center
CGCAPP515QA,CGCAPP515QA,Rogers CoLo Data Center
CGCAPP518TR,CGCAPP518TR,Rogers CoLo Data Center
CGCAPP519DV,CGCAPP519DV,Rogers CoLo Data Center
CGCAPP520TS,CGCAPP520TS,
CGCAPP521PS,CGCAPP521PS,Rogers CoLo Data Center
CGCAPP523DV,CGCAPP523DV,Rogers CoLo Data Center
CGCAPP529DV,CGCAPP529DV,Rogers CoLo Data Center
CGCAPP530TR,CGCAPP530TR,
CGCAPP531TR,CGCAPP531TR,
CGCAPP532DV,CGCAPP532DV,Rogers CoLo Data Center
CGCAPP533TS,CGCAPP533TS,
CGCAPP536TR,CGCAPP536TR,Rogers CoLo Data Center
CGCAPP537PP,CGCAPP537PP,Rogers CoLo Data Center
CGCAPP540DV,CGCAPP540DV,Rogers CoLo Data Center
cgcapp542ts.hq,cgcapp542ts.hq,
CGCAPP546PP,CGCAPP546PP,
CGCAPP549PP,CGCAPP549PP,
CGCAPP550PP,CGCAPP550PP,
CGCAPP552TS,CGCAPP552TS,Rogers CoLo Data Center
CGCAPP553TS,CGCAPP553TS,Rogers CoLo Data Center
CGCAPP554TS,CGCAPP554TS,Rogers CoLo Data Center
CGCAPP555TS,CGCAPP555TS,
cgcapp564dv.hq,cgcapp564dv.hq,
cgcapp567dv.hq,cgcapp567dv.hq,
CGCAPP569PS,CGCAPP569PS,Rogers CoLo Data Center
CGCAPP570DV,CGCAPP570DV,Rogers CoLo Data Center
CGCAPP571SB,CGCAPP571SB,Rogers CoLo Data Center
CGCAPP576TS,CGCAPP576TS,
CGCAPP578DV,CGCAPP578DV,Rogers CoLo Data Center
CGCAPP579TS,CGCAPP579TS,Rogers CoLo Data Center
CGCAPP580PP,CGCAPP580PP,Rogers CoLo Data Center
CGCAPP583TS,CGCAPP583TS,Rogers CoLo Data Center
CGCAPP585TS,CGCAPP585TS,
CGCAPP587PD,CGCAPP587PD,
CGCAPP589PD,CGCAPP589PD,Rogers CoLo Data Center
CGCAPP591TS,CGCAPP591TS,Rogers CoLo Data Center
CGCAPP593PP,CGCAPP593PP,
CGCAPP594QA,CGCAPP594QA,Rogers CoLo Data Center
CGCAPP595DV,CGCAPP595DV,
cgcapp602ts.hq,cgcapp602ts.hq,
CGCAPP605TS,CGCAPP605TS,
CGCAPP606PP,CGCAPP606PP,Rogers CoLo Data Center
CGCAPP608TS,CGCAPP608TS,
CGCAPP611TS,CGCAPP611TS,Rogers CoLo Data Center
CGCAPP612TS,CGCAPP612TS,
CGCAPP616NP,CGCAPP616NP,Rogers CoLo Data Center
CGCAPP617PD,CGCAPP617PD,Rogers CoLo Data Center
CGCAPP618PP,CGCAPP618PP,
CGCAPP619TS,CGCAPP619TS,Rogers CoLo Data Center
CGCAPP621NP,CGCAPP621NP,Rogers CoLo Data Center
CGCAPP622NP,CGCAPP622NP,
CGCAPP632NP,CGCAPP632NP,Rogers CoLo Data Center
CGCAPP633TS,CGCAPP633TS,Rogers CoLo Data Center
CGCAPP640TS,CGCAPP640TS,Rogers CoLo Data Center
CGCAPP642PD,CGCAPP642PD,Rogers CoLo Data Center
CGCAPP644SB,CGCAPP644SB,
CGCAPP645SB,CGCAPP645SB,
CGCAPP648PD,CGCAPP648PD,Rogers CoLo Data Center
CGCAPP649TS,CGCAPP649TS,Rogers CoLo Data Center
CGCAPP650TS,CGCAPP650TS,
CGCAPP652TS,CGCAPP652TS,Rogers CoLo Data Center
CGCAPP655PS,CGCAPP655PS,Rogers CoLo Data Center
CGCAPP656PS,CGCAPP656PS,Rogers CoLo Data Center
CGCAPP657PS,CGCAPP657PS,Rogers CoLo Data Center
CGCAPP658PS,CGCAPP658PS,Rogers CoLo Data Center
CGCAPP662TS,CGCAPP662TS,
CGCAPP665DV,CGCAPP665DV,Rogers CoLo Data Center
CGCAPP666TS,CGCAPP666TS,Rogers CoLo Data Center
CGCAPP668PD,CGCAPP668PD,
cgcapp671ts.hq,cgcapp671ts.hq,
CGCAPP672PP,CGCAPP672PP,Rogers CoLo Data Center
CGCAPP674PD,CGCAPP674PD,Rogers CoLo Data Center
CGCAPP677PS,CGCAPP677PS,Rogers CoLo Data Center
CGCAPP679PS,CGCAPP679PS,
CGCAPP680PD,CGCAPP680PD,
CGCAPP682PD,CGCAPP682PD,
cgcapp684ts.hq,cgcapp684ts.hq,
cgcapp685ts.hq,cgcapp685ts.hq,
CGCAPP698DV,CGCAPP698DV,
CGCAPP700TS,CGCAPP700TS,Rogers CoLo Data Center
cgcapp701tr.hq,cgcapp701tr.hq,
cgcapp703dv.hq,cgcapp703dv.hq,
CGCAPP703QA,CGCAPP703QA,
cgcapp704dv.hq,cgcapp704dv.hq,
CGCAPP704QA,CGCAPP704QA,
cgcapp705dv.hq,cgcapp705dv.hq,
CGCAPP705QA,CGCAPP705QA,
CGCAPP709DV,CGCAPP709DV,Rogers CoLo Data Center
CGCAPP710DV,CGCAPP710DV,
CGCAPP711DV,CGCAPP711DV,
CGCAPP712DV,CGCAPP712DV,
CGCAPP713TS,CGCAPP713TS,Rogers CoLo Data Center
CGCAPP714TS,CGCAPP714TS,Rogers CoLo Data Center
CGCAPP715TS,CGCAPP715TS,Rogers CoLo Data Center
CGCAPP716TS,CGCAPP716TS,Rogers CoLo Data Center
