"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g0RzAAI","1D0041704606W400","N","0.004","9.23","08-MAY-18","Item Updated"
"a8k16000000g0JwAAI","1D0041504506W400","N","0.02413","11.98","08-MAY-18","Item Updated"
"a8k16000000g0n0AAA","1D0033304506W400","N","0.05608","5.33","08-MAY-18","Item Updated"
"a8k16000000fzvHAAQ","1D0033204506W400","N","0.01938","10.51","08-MAY-18","Item Updated"
"a8k16000000g0gmAAA","1D0032904506W400","N","0.00313","8.81","08-MAY-18","Item Updated"
"a8k16000000g0DUAAY","1D0032704506W400","N","0.04054","11.04","08-MAY-18","Item Updated"
"a8k16000000g0gvAAA","1D0032004506W400","N","0.04707","5.54","08-MAY-18","Item Updated"
"a8k16000000g0MfAAI","1D0030904606W400","N","0.09312","6.4","08-MAY-18","Item Updated"
"a8k16000000g0JgAAI","1D0030504606W400","N","0.03299","5.14","08-MAY-18","Item Updated"
"a8k16000000g0gtAAA","1D0022004506W400","N","0.0246","9.9","08-MAY-18","Item Updated"
"a8k16000000g0VkAAI","1D0021804606W400","N","0.03507","6.77","08-MAY-18","Item Updated"
"a8k16000000g0RvAAI","1D0021704606W400","N","0.0004","9.6","08-MAY-18","Item Updated"
"a8k16000000g0K8AAI","1D0021604506W400","N","0.03921","7.76","08-MAY-18","Item Updated"
"a8k16000000fzvDAAQ","1D0013204506W400","N","0.02655","1.82","08-MAY-18","Item Updated"
"a8k16000000g0mqAAA","1D0012904506W400","N","0.04129","6.34","08-MAY-18","Item Updated"
"a8k16000000g0F4AAI","1D0012804506W400","N","0.04284","5.77","08-MAY-18","Item Updated"
"a8k16000000g0ROAAY","1C0161904704W400","N","0.08041","21.79","08-MAY-18","Item Updated"
"a8k16000000g0RKAAY","1C0141904704W400","N","0.08038","10.8","08-MAY-18","Item Updated"
"a8k16000000g04gAAA","1C0141804704W400","N","0.0804","27.5","08-MAY-18","Item Updated"
"a8k16000000g0rNAAQ","1C0141704704W400","N","0.08041","12.25","08-MAY-18","Item Updated"
