"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","TRUCKED_OIL","MTD_DATE","STATUS"
"a8k16000000fyT7AAI","111103404924W303","Y","0.01171","3.27181818181818181818181818181818181818","09-MAY-18","Item Updated"
"a8k16000000fybxAAA","100090605203W400","Y","0.23591","0","09-MAY-18","Item Updated"
"a8k16000000fxcYAAQ","112011705024W300","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fzh4AAA","111091204626W303","Y","0.96","0","10-MAY-18","Item Updated"
"a8k16000000fzZgAAI","111032305022W300","Y","0.1023","0","10-MAY-18","Item Updated"
"a8k16000000fzPQAAY","141102104920W300","Y","0.38731","4.39636363636363636363636363636363636364","09-MAY-18","Item Updated"
"a8k16000000fyiVAAQ","106011005207W400","Y","0.00585","0","10-MAY-18","Item Updated"
"a8k16000000fzxeAAA","100161304701W400","Y","0","3.50363636363636363636363636363636363636","10-MAY-18","Item Updated"
"a8k16000000fyiHAAQ","100030105207W400","Y","0.03419","2.42","09-MAY-18","Item Updated"
"a8k16000000fzuHAAQ","108033205207W400","Y","0.03635","8.35909090909090909090909090909090909091","09-MAY-18","Item Updated"
"a8k16000000g0bcAAA","100031904804W400","Y","1.18067","0","10-MAY-18","Item Updated"
"a8k16000000fzLLAAY","111072105123W300","Y","0.24022","0","10-MAY-18","Item Updated"
"a8k16000000g001AAA","131042504825W300","Y","0.1203","0","10-MAY-18","Item Updated"
"a8k16000000fyaQAAQ","100072104902W400","Y","0.08235","0","10-MAY-18","Item Updated"
"a8k16000000fyrOAAQ","100140905406W400","Y","0.07556","0","09-MAY-18","Item Updated"
"a8k16000000fyujAAA","104040505106W400","Y","0.02992","0","10-MAY-18","Item Updated"
"a8k16000000fyFPAAY","131113304822W303","Y","0.09286","0","10-MAY-18","Item Updated"
"a8k16000000fy1hAAA","131031104927W300","Y","0.1773","3.49545454545454545454545454545454545455","10-MAY-18","Item Updated"
"a8k16000000fzjpAAA","111012705020W303","Y","0.2148","1.57545454545454545454545454545454545455","09-MAY-18","Item Updated"
"a8k16000000fy0TAAQ","121062104922W300","Y","0.1663","3.10636363636363636363636363636363636364","09-MAY-18","Item Updated"
"a8k16000000fygUAAQ","100113304802W400","Y","0.2313","0","10-MAY-18","Item Updated"
"a8k16000000fzuDAAQ","103033205207W400","Y","0.008","0","10-MAY-18","Item Updated"
"a8k16000000fyiXAAQ","103021005207W400","Y","0.03557","0","10-MAY-18","Item Updated"
"a8k16000000fywDAAQ","100153304802W400","Y","0.43834","0","10-MAY-18","Item Updated"
