"ID","WELL_LOCATION","SINGLE_WELL_BATTERY","GAS_OIL_RATIO","SUM(DBT.TICKET_SHIPMENT_OIL)","MAX(DBT.PRODUCTION_DATE)","STATUS"
"a8k16000000fzuPAAQ","100050605301W400","Y","0.08136","27.95","09-MAY-18","Item Updated"
"a8k1L000000Kyl4QAC","100050705203W400","Y","0.02253","110.18","08-MAY-18","Item Updated"
"a8k16000000g0xmAAA","100050705406W402","Y","0.03137","26.72","08-MAY-18","Item Updated"
"a8k16000000g0xYAAQ","100050905106W400","Y","0.0302","21.54","08-MAY-18","Item Updated"
"a8k16000000g101AAA","100050905301W400","Y","0.02309","27.38","09-MAY-18","Item Updated"
"a8k16000000g1vMAAQ","100050905305W400","Y","0.05706","50","09-MAY-18","Item Updated"
"a8k16000000g217AAA","100051004903W400","Y","0.00491","130.78","08-MAY-18","Item Updated"
"a8k16000000fykZAAQ","100051005005W400","Y","0.09133","120.59","09-MAY-18","Item Updated"
"a8k16000000g1BnAAI","100051304701W400","Y","0","37.96","09-MAY-18","Item Updated"
"a8k16000000g1uuAAA","100051305302W400","Y","0.05687","131.15","09-MAY-18","Item Updated"
"a8k16000000g0RdAAI","100051404505W400","Y","0.1875","0","09-MAY-18","Item Updated"
"a8k16000000fyhaAAA","100051905305W400","Y","0.03461","56.23","09-MAY-18","Item Updated"
"a8k16000000g1BoAAI","100052305006W400","Y","0.0459","26.8","08-MAY-18","Item Updated"
"a8k16000000fye7AAA","100052305406W400","Y","0.183","74.4","08-MAY-18","Item Updated"
"a8k16000000g0xbAAA","100052704701W400","Y","0.02322","0","09-MAY-18","Item Updated"
"a8k16000000g1LcAAI","100052704802W402","Y","0.37304","0","09-MAY-18","Item Updated"
"a8k16000000fykBAAQ","100052905306W400","Y","0.0192","0","09-MAY-18","Item Updated"
"a8k16000000g1DVAAY","100053005001W402","Y","0.05683","61.98","09-MAY-18","Item Updated"
"a8k16000000fzwhAAA","100053104605W400","Y","0.40429","0","08-MAY-18","Item Updated"
"a8k16000000g1e2AAA","100053104805W400","Y","0.2663","59.33","08-MAY-18","Item Updated"
"a8k16000000fyuyAAA","100053105106W400","Y","0.19882","28.07","08-MAY-18","Item Updated"
"a8k16000000fzurAAA","100053505205W402","Y","0.02363","24.69","08-MAY-18","Item Updated"
"a8k16000000g0nNAAQ","100060204601W400","Y","0.0923","0","09-MAY-18","Item Updated"
"a8k16000000g1xIAAQ","100060204903W402","Y","0.008","0","08-MAY-18","Item Updated"
"a8k16000000g0vKAAQ","100060305402W400","Y","0.05344","74.99","09-MAY-18","Item Updated"
"a8k16000000g0O1AAI","100060504504W400","Y","0.09264","23.21","08-MAY-18","Item Updated"
"a8k16000000g0qLAAQ","100060505301W400","Y","0.18874","13.64","09-MAY-18","Item Updated"
"a8k16000000g1mSAAQ","100060505405W400","Y","0.0419","23.19","09-MAY-18","Item Updated"
"a8k16000000fzuRAAQ","100060605301W402","Y","0","53.13","08-MAY-18","Item Updated"
"a8k16000000g0ZNAAY","100060705301W402","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000g0Z2AAI","100060705306W400","Y","0","257.91","09-MAY-18","Item Updated"
"a8k16000000g283AAA","100060907825W400","Y","0.29249","0","09-MAY-18","Item Updated"
"a8k16000000fyjpAAA","100061005207W400","Y","0.3623","0","09-MAY-18","Item Updated"
"a8k16000000fyXUAAY","100061305301W400","Y","0","0","08-MAY-18","Item Updated"
"a8k16000000g1vbAAA","100061305302W400","Y","0.11014","28.25","08-MAY-18","Item Updated"
"a8k16000000g0ReAAI","100061404505W400","Y","0.7731","0","09-MAY-18","Item Updated"
"a8k16000000fyliAAA","100061505005W400","Y","0.10767","48.82","08-MAY-18","Item Updated"
"a8k16000000fyzEAAQ","100061505101W400","Y","0.17091","72.21","09-MAY-18","Item Updated"
"a8k16000000fztaAAA","100061705302W400","Y","0.15573","29.11","09-MAY-18","Item Updated"
"a8k16000000g0fXAAQ","100062105305W400","Y","0.08059","72.76","09-MAY-18","Item Updated"
"a8k16000000g1roAAA","100062205406W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g01TAAQ","100062304706W400","Y","0.09631","36.04","08-MAY-18","Item Updated"
"a8k16000000fyqaAAA","100062305006W400","Y","0.05745","40.95","09-MAY-18","Item Updated"
"a8k16000000fyeAAAQ","100062305406W403","Y","0.02953","48.47","08-MAY-18","Item Updated"
"a8k16000000fymCAAQ","100062404902W400","Y","0.14455","27.95","09-MAY-18","Item Updated"
"a8k16000000g0jjAAA","100062405003W400","Y","0","28.61","09-MAY-18","Item Updated"
"a8k16000000fymSAAQ","100062505001W400","Y","0.10942","50.3","09-MAY-18","Item Updated"
"a8k16000000fzwiAAA","100063104605W400","Y","0.301","0","08-MAY-18","Item Updated"
"a8k16000000fylfAAA","100063505306W400","Y","0.16552","21.87","08-MAY-18","Item Updated"
"a8k16000000fzxCAAQ","100070104706W400","Y","0.15","22.02","08-MAY-18","Item Updated"
"a8k16000000fyuWAAQ","100070105101W400","Y","0.20608","0","08-MAY-18","Item Updated"
"a8k16000000fyumAAA","100070505106W400","Y","0.13902","0","09-MAY-18","Item Updated"
"a8k16000000fzuSAAQ","100070605301W400","Y","0.08465","75.53","08-MAY-18","Item Updated"
"a8k16000000fyjrAAA","100071005207W400","Y","0.14471","0","09-MAY-18","Item Updated"
"a8k16000000fyxdAAA","100071105301W400","Y","0.2181","22.46","09-MAY-18","Item Updated"
"a8k16000000fzxZAAQ","100071304701W400","Y","0","0","08-MAY-18","Item Updated"
"a8k16000000fyXVAAY","100071305301W400","Y","0.26348","0","08-MAY-18","Item Updated"
"a8k16000000g0lAAAQ","100071305302W400","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000fyljAAA","100071505005W400","Y","0.13283","21.35","08-MAY-18","Item Updated"
"a8k16000000g0w4AAA","100071605405W400","Y","0.18985","24.63","08-MAY-18","Item Updated"
"a8k16000000fztbAAA","100071705302W400","Y","0.21333","0","09-MAY-18","Item Updated"
"a8k16000000g0qoAAA","100071705405W400","Y","0.03093","0","09-MAY-18","Item Updated"
"a8k16000000g0b1AAA","100072104802W400","Y","0.099","0","09-MAY-18","Item Updated"
"a8k16000000fyaQAAQ","100072104902W400","Y","0.08235","0","09-MAY-18","Item Updated"
"a8k16000000g1QPAAY","100072105305W400","Y","0.06725","111.42","09-MAY-18","Item Updated"
"a8k16000000g1LTAAY","100072205406W400","Y","0.2073","0","08-MAY-18","Item Updated"
"a8k16000000fyfhAAA","100072305406W400","Y","0.01503","72.77","08-MAY-18","Item Updated"
"a8k16000000g0UgAAI","100072504402W400","Y","0.07543","20.12","08-MAY-18","Item Updated"
"a8k16000000g0vMAAQ","100072505001W400","Y","0.2023","0","09-MAY-18","Item Updated"
"a8k1L000000KyqXQAS","100072505406W400","Y","0.03535","89.92","09-MAY-18","Item Updated"
"a8k16000000fydFAAQ","100072604901W400","Y","0.13941","0","09-MAY-18","Item Updated"
"a8k16000000g1seAAA","100072905207W400","Y","0.008","0","09-MAY-18","Item Updated"
"a8k16000000g1vSAAQ","100073005104W400","Y","0.09275","0","09-MAY-18","Item Updated"
"a8k16000000fysbAAA","100073005105W400","Y","0.14264","0","08-MAY-18","Item Updated"
"a8k16000000g13xAAA","100073105306W400","Y","1.5482","0","09-MAY-18","Item Updated"
"a8k16000000g0VuAAI","100073304706W400","Y","0.3173","0","09-MAY-18","Item Updated"
"a8k16000000g0AVAAY","100073304804W402","Y","0.75493","0","09-MAY-18","Item Updated"
"a8k16000000g1LiAAI","100073504701W402","Y","0.03161","0","09-MAY-18","Item Updated"
"a8k16000000fxTVAAY","100073605001W402","Y","0.07211","24.29","09-MAY-18","Item Updated"
"a8k16000000g01EAAQ","100080104706W400","Y","0.455","0","09-MAY-18","Item Updated"
"a8k16000000g0pBAAQ","100080105004W400","Y","0.10118","58.66","09-MAY-18","Item Updated"
"a8k16000000fyuXAAQ","100080105101W400","Y","0.08158","27.77","08-MAY-18","Item Updated"
"a8k16000000fynCAAQ","100080405201W400","Y","0.65162","25.2","08-MAY-18","Item Updated"
"a8k16000000g0ZQAAY","100080705301W400","Y","0","26.44","09-MAY-18","Item Updated"
"a8k16000000g0ZmAAI","100080705305W400","Y","0","93.35","08-MAY-18","Item Updated"
"a8k16000000fynWAAQ","100080705405W400","Y","0.26667","0","09-MAY-18","Item Updated"
"a8k16000000fyb2AAA","100080705406W400","Y","0.13548","21.97","09-MAY-18","Item Updated"
"a8k16000000fypXAAQ","100080905406W400","Y","0.13403","0","08-MAY-18","Item Updated"
"a8k16000000g1x8AAA","100081205204W400","Y","0.06224","34.25","08-MAY-18","Item Updated"
"a8k16000000g1s7AAA","100081304701W402","Y","0","65.65","08-MAY-18","Item Updated"
"a8k16000000fyfJAAQ","100081304801W402","Y","0.008","0","04-MAY-18","Item Updated"
"a8k16000000fyXdAAI","100081405301W400","Y","0.25163","0","08-MAY-18","Item Updated"
"a8k16000000g1vLAAQ","100081405302W400","Y","0.03017","112.64","08-MAY-18","Item Updated"
"a8k1L000000KyrVQAS","100081505002W400","Y","0.0023","23.74","09-MAY-18","Item Updated"
"a8k16000000g0quAAA","100081805405W402","Y","0","0","08-MAY-18","Item Updated"
"a8k16000000fyt7AAA","100081905201W400","Y","0","133.7","08-MAY-18","Item Updated"
"a8k16000000fyaOAAQ","100082004902W400","Y","0.02373","142.06","09-MAY-18","Item Updated"
"a8k16000000g1M2AAI","100082104701W400","Y","0.00386","91.31","09-MAY-18","Item Updated"
"a8k16000000fybdAAA","100082104802W400","Y","0.16333","0","09-MAY-18","Item Updated"
"a8k16000000fxUiAAI","100082105101W403","Y","0.39563","0","09-MAY-18","Item Updated"
"a8k16000000g19QAAQ","100082205006W400","Y","0.06322","17.67","09-MAY-18","Item Updated"
"a8k16000000fycPAAQ","100082205406W400","Y","0","0","09-MAY-18","Item Updated"
"a8k16000000fyfjAAA","100082305406W400","Y","0.02342","0","09-MAY-18","Item Updated"
"a8k16000000g0UiAAI","100082504402W400","Y","0.11873","0","08-MAY-18","Item Updated"
"a8k16000000g1MHAAY","100082504806W400","Y","0.09775","0","09-MAY-18","Item Updated"
"a8k1L000000KyqbQAC","100082505306W400","Y","0.0223","182.69","09-MAY-18","Item Updated"
"a8k16000000g1JiAAI","100083105306W400","Y","0.01559","26.99","08-MAY-18","Item Updated"
"a8k16000000g0BXAAY","100083504701W400","Y","0.24267","0","08-MAY-18","Item Updated"
"a8k1L000000KyrfQAC","100083504806W402","Y","0.02636","124.72","09-MAY-18","Item Updated"
"a8k16000000fylyAAA","100083505005W400","Y","0.0564","0","09-MAY-18","Item Updated"
"a8k16000000g0wQAAQ","100083505107W400","Y","0","42.37","08-MAY-18","Item Updated"
"a8k16000000fyn2AAA","100083506405W400","Y","0.06397","47.43","08-MAY-18","Item Updated"
"a8k16000000fybUAAQ","100083604801W400","Y","0.44025","0","08-MAY-18","Item Updated"
"a8k16000000g0hoAAA","100090104501W400","Y","0.09532","0","09-MAY-18","Item Updated"
"a8k16000000fyuYAAQ","100090105101W400","Y","0.1223","23.48","08-MAY-18","Item Updated"
"a8k16000000g0nPAAQ","100090204601W400","Y","0.79371","0","09-MAY-18","Item Updated"
"a8k16000000fymeAAA","100090305006W400","Y","0","163.91","08-MAY-18","Item Updated"
"a8k16000000g13gAAA","100090505305W400","Y","0.0023","0","09-MAY-18","Item Updated"
"a8k16000000fybxAAA","100090605203W400","Y","0.23591","0","08-MAY-18","Item Updated"
