"ID","WELL_LOCATION","GAS_OIL_RATIO","SUM(WBT.PRORATED_OIL)","MAX(WBT.PRODUCTION_DATE)","STATUS"
"a8k16000000g0QSAAY","100072004704W400","0.08035","10.06","07-MAY-18","Item Updated"
"a8k16000000fyoxAAA","100072304903W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fys2AAA","100072405007W400","0","9.46","07-MAY-18","Item Updated"
"a8k16000000g0ebAAA","100072505402W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzI0AAI","100073504606W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g26TAAQ","100073507725W400","0.55427","10.12","07-MAY-18","Item Updated"
"a8k16000000fyXxAAI","100073605205W403","0","0","07-MAY-18","Item Updated"
"a8k16000000fyXyAAI","100073605205W404","0","0","07-MAY-18","Item Updated"
"a8k16000000g0NeAAI","100080205007W400","0","0","08-MAY-18","Item Updated"
"a8k16000000g27fAAA","100080207825W400","0.17212","0","07-MAY-18","Item Updated"
"a8k16000000fzmBAAQ","100080604304W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0n7AAA","100080604603W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g258AAA","100081007825W400","1.08857","1.07","07-MAY-18","Item Updated"
"a8k16000000g18bAAA","100081107421W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fyq3AAA","100081305007W400","0.1573","0","07-MAY-18","Item Updated"
"a8k16000000fyXsAAI","100081305205W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g27VAAQ","100081407825W400","0.04228","12","07-MAY-18","Item Updated"
"a8k16000000g0rEAAQ","100081704704W400","0.08035","4.45","06-MAY-18","Item Updated"
"a8k16000000g0NWAAY","100081704806W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fzwvAAA","100081804606W400","0.0817","13.16","07-MAY-18","Item Updated"
"a8k16000000g04UAAQ","100081804704W400","0.08037","4.19","06-MAY-18","Item Updated"
"a8k16000000g01LAAQ","100081904704W400","0.08041","28.19","07-MAY-18","Item Updated"
"a8k16000000fyeWAAQ","100082504802W400","0.04222","4.34","07-MAY-18","Item Updated"
"a8k16000000g0ErAAI","100082704506W400","0.06792","9.32","07-MAY-18","Item Updated"
"a8k16000000g26mAAA","100083407725W400","0.03411","18.57","07-MAY-18","Item Updated"
"a8k16000000g26UAAQ","100083507725W400","0.07844","19.58","07-MAY-18","Item Updated"
"a8k16000000fzODAAY","100090104304W400","0.013","2.01","08-MAY-18","Item Updated"
"a8k16000000g24BAAQ","100090107825W400","0.2019","24.98","07-MAY-18","Item Updated"
"a8k16000000g24tAAA","100090307825W400","0.26838","17.78","07-MAY-18","Item Updated"
"a8k16000000g15rAAA","100090907421W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0HgAAI","100091904604W400","0","0","02-MAY-18","Item Updated"
"a8k16000000fyihAAA","100092106002W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g16sAAA","100092207320W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g23bAAA","100092407825W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzvrAAA","100093004906W400","0.95192","5.86","07-MAY-18","Item Updated"
"a8k16000000fzFBAAY","100093104606W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g16YAAQ","100093307320W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fyj9AAA","100093405306W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g15kAAA","100093407320W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g261AAA","100093407725W400","0.00974","15.97","07-MAY-18","Item Updated"
"a8k16000000g26EAAQ","100093507725W400","0.06619","20.26","07-MAY-18","Item Updated"
"a8k16000000g17iAAA","100093607321W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g17eAAA","100100107421W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g24DAAQ","100100107825W400","0.03415","39.22","07-MAY-18","Item Updated"
"a8k16000000fyzxAAA","100100204505W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g24vAAA","100100307825W400","0.41211","0","07-MAY-18","Item Updated"
"a8k16000000fzI8AAI","100100504706W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g16kAAA","100100607420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g180AAA","100100607420W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g16JAAQ","100100607421W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fz3yAAA","100101004505W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g18aAAA","100101007421W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g04NAAQ","100101104401W400","0.04367","5.43","07-MAY-18","Item Updated"
"a8k16000000g25WAAQ","100101107825W400","1.56888","0","07-MAY-18","Item Updated"
"a8k16000000fzO2AAI","100101204706W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fzEyAAI","100101604606W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g0acAAA","100101604704W400","0.08041","11.16","06-MAY-18","Item Updated"
"a8k16000000g0AgAAI","100101704601W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g0VaAAI","100101704606W400","0.00596","10.23","07-MAY-18","Item Updated"
"a8k16000000fyo2AAA","100101805006W400","0.17922","0","07-MAY-18","Item Updated"
"a8k16000000g0HSAAY","100101904504W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0a6AAA","100101904904W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fycYAAQ","100102005107W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fyirAAA","100102206003W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g23ZAAQ","100102407825W400","0.24756","0","07-MAY-18","Item Updated"
"a8k16000000fyZtAAI","100102505307W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fymuAAA","100102506003W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g17lAAA","100102507321W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g17OAAQ","100102507421W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g154AAA","100102607420W403","0","0","07-MAY-18","Item Updated"
"a8k16000000g15XAAQ","100102707420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0AvAAI","100103004506W400","0.02745","6.95","06-MAY-18","Item Updated"
"a8k16000000g18DAAQ","100103107320W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0KVAAY","100103204704W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g18EAAQ","100103207320W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0HWAAY","100103304504W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g265AAA","100103407725W400","0.32388","9.41","07-MAY-18","Item Updated"
"a8k16000000g26IAAQ","100103507725W400","0.08202","12.14","07-MAY-18","Item Updated"
"a8k16000000fzOEAAY","100110104304W400","0","5.78","08-MAY-18","Item Updated"
"a8k16000000g0nDAAQ","100110104604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0nFAAQ","100110204604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzREAAY","100110304906W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0nGAAQ","100110404604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0n4AAA","100110504603W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0nJAAQ","100110504604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0n8AAA","100110604603W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzIAAAY","100110604706W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0s9AAA","100110704604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fyzqAAA","100110904406W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sBAAQ","100110904604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g16CAAQ","100110907420W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sCAAQ","100111004604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g27gAAA","100111107825W400","0.27968","0","07-MAY-18","Item Updated"
"a8k16000000fyfyAAA","100111205206W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sPAAQ","100111304605W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g24KAAQ","100111307825W400","0.45848","0","07-MAY-18","Item Updated"
"a8k16000000g0NLAAY","100111404401W400","0.00641","10.87","07-MAY-18","Item Updated"
"a8k16000000fz40AAA","100111404505W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g00IAAQ","100111404506W400","0.03011","8.99","07-MAY-18","Item Updated"
"a8k16000000fytSAAQ","100111404902W403","0","0","07-MAY-18","Item Updated"
"a8k16000000g23kAAA","100111407825W400","0.14141","0","07-MAY-18","Item Updated"
"a8k16000000g0HbAAI","100111504604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzC4AAI","100111504606W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fytUAAQ","100111504902W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fytVAAQ","100111504902W404","0","0","07-MAY-18","Item Updated"
"a8k16000000g0ljAAA","100111605105W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0HdAAI","100111704604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g15VAAQ","100111707320W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzF0AAI","100111804606W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzO3AAI","100111804706W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fyo4AAA","100111805006W400","0.3291","0","07-MAY-18","Item Updated"
"a8k16000000g0HhAAI","100111904604W400","0","0","06-MAY-18","Item Updated"
"a8k16000000fzF5AAI","100112004606W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g0QXAAY","100112004704W400","0.08046","4.37","07-MAY-18","Item Updated"
"a8k16000000g23CAAQ","100112007923W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g0HkAAI","100112104604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0HlAAI","100112204604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0HmAAI","100112304604W400","0","0","02-MAY-18","Item Updated"
"a8k16000000fys5AAA","100112405007W400","0.0323","0","07-MAY-18","Item Updated"
"a8k16000000g0sVAAQ","100112504605W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g150AAA","100112507420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g242AAA","100112507825W400","0.02259","12.08","07-MAY-18","Item Updated"
"a8k16000000g0HqAAI","100112704604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0KHAAY","100112804604W403","0","0","07-MAY-18","Item Updated"
"a8k16000000g0KLAAY","100112904604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0m4AAA","100112904906W400","0.07236","12.13","07-MAY-18","Item Updated"
"a8k16000000g0KPAAY","100113004604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0HVAAY","100113104504W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzFDAAY","100113104606W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzFEAAY","100113104606W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fzHuAAI","100113204606W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g01lAAA","100113204701W403","0","0","07-MAY-18","Item Updated"
"a8k16000000g0rCAAQ","100113204906W402","0","0","01-MAY-18","Item Updated"
"a8k16000000g0HXAAY","100113404504W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzHyAAI","100113404606W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sXAAQ","100113504605W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g17UAAQ","100113507420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0HZAAY","100113604504W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0n3AAA","100113604505W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0sbAAA","100113604605W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g15qAAA","100113607320W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g25lAAA","100120107825W400","0.51416","12.93","07-MAY-18","Item Updated"
"a8k16000000g0sGAAQ","100121104604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g27iAAA","100121107825W400","0.63145","0","07-MAY-18","Item Updated"
"a8k16000000g23uAAA","100121207825W400","0.30033","0","07-MAY-18","Item Updated"
"a8k16000000g24LAAQ","100121307825W400","0.27376","0","07-MAY-18","Item Updated"
"a8k16000000g0aeAAA","100121604704W400","0.08037","1.73","06-MAY-18","Item Updated"
"a8k16000000g0VdAAI","100121704606W400","0.01878","10.87","07-MAY-18","Item Updated"
"a8k16000000g0rIAAQ","100121704704W400","0.08041","10.25","06-MAY-18","Item Updated"
"a8k16000000fyo6AAA","100121805006W400","0.06298","3.53","07-MAY-18","Item Updated"
"a8k16000000g0geAAA","100121904506W400","0.00235","6.47","06-MAY-18","Item Updated"
"a8k16000000g18RAAQ","100121907320W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0m5AAA","100122904906W400","0.0023","0","07-MAY-18","Item Updated"
"a8k16000000g0HYAAY","100123504504W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fyimAAA","100123506002W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g26ZAAQ","100123507725W400","0.17774","2.75","07-MAY-18","Item Updated"
"a8k16000000fyeRAAQ","100130105206W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g17uAAA","100130107420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g25nAAA","100130107825W400","0.16026","6.43","07-MAY-18","Item Updated"
"a8k16000000fzvbAAA","100130904506W400","0.03406","0.91","07-MAY-18","Item Updated"
"a8k16000000g007AAA","100131104506W400","0.20054","3.86","07-MAY-18","Item Updated"
"a8k16000000g27kAAA","100131107825W400","0.3188","18.5","07-MAY-18","Item Updated"
"a8k16000000g23wAAA","100131207825W400","0.14194","0","07-MAY-18","Item Updated"
"a8k16000000g24OAAQ","100131307825W400","0.26476","8.39","07-MAY-18","Item Updated"
"a8k16000000g0bSAAQ","100131604506W400","0.04226","4.27","07-MAY-18","Item Updated"
"a8k16000000g0QvAAI","100131604906W400","0.1524","5.01","07-MAY-18","Item Updated"
"a8k16000000g0rKAAQ","100131704704W400","0.07805","0","06-MAY-18","Item Updated"
"a8k16000000g0RHAAY","100131904704W400","0.08041","15.84","06-MAY-18","Item Updated"
"a8k16000000fyiiAAA","100132606002W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzFFAAY","100133104606W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0AiAAI","100133204601W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzHwAAI","100133304606W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fycbAAA","100133305107W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0r6AAA","100133404601W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g25qAAA","100140107825W400","0.19531","21.49","07-MAY-18","Item Updated"
"a8k16000000g17TAAQ","100140407420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g21gAAA","100141107825W400","0.12981","6.42","07-MAY-18","Item Updated"
"a8k16000000g0agAAA","100141604704W400","0.08366","9.27","06-MAY-18","Item Updated"
"a8k16000000g04fAAA","100141804704W400","0.0804","9.28","06-MAY-18","Item Updated"
"a8k16000000g0R9AAI","100141904401W400","0.01628","3.42","07-MAY-18","Item Updated"
"a8k16000000g0FHAAY","100141904404W402","0","0","06-MAY-18","Item Updated"
"a8k16000000g0ghAAA","100141904506W400","0.00235","10.63","06-MAY-18","Item Updated"
"a8k16000000g0g7AAA","100142004704W400","0.0804","0","07-MAY-18","Item Updated"
"a8k16000000g191AAA","100142207420W400","0","0","07-MAY-18","Item Updated"
"a8k16000000fzI1AAI","100142404607W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g22hAAA","100142607925W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g22mAAA","100143407925W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g26dAAA","100143507725W400","0.19946","14.62","07-MAY-18","Item Updated"
"a8k16000000g0nEAAQ","100150104604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g0b5AAA","100150204701W402","0","0","07-MAY-18","Item Updated"
"a8k16000000g26tAAA","100150207825W400","0.15859","21.06","07-MAY-18","Item Updated"
"a8k16000000fytNAAQ","100150304901W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g24xAAA","100150307825W400","0.0892","67.52","07-MAY-18","Item Updated"
"a8k16000000g0KeAAI","100150704804W402","0","0","07-MAY-18","Item Updated"
"a8k16000000fzvjAAA","100151004506W400","0.0176","6.69","07-MAY-18","Item Updated"
"a8k16000000g0sIAAQ","100151104604W400","0","0","07-MAY-18","Item Updated"
"a8k16000000g25XAAQ","100151107825W400","4.67313","0","07-MAY-18","Item Updated"
"a8k16000000g24XAAQ","100151407825W400","0.664","0","07-MAY-18","Item Updated"
"a8k16000000g0rOAAQ","100151704704W400","0.07794","9.77","06-MAY-18","Item Updated"
"a8k16000000fzwzAAA","100151804606W400","0.01227","9.95","07-MAY-18","Item Updated"
"a8k16000000g04hAAA","100151804704W400","0.08037","7.2","06-MAY-18","Item Updated"
"a8k16000000g0RLAAY","100151904704W400","0.08024","0.3","06-MAY-18","Item Updated"
"a8k16000000g0g9AAA","100152004704W400","0.0804","48.63","07-MAY-18","Item Updated"
"a8k16000000g0DOAAY","100152204506W400","0.03809","11.86","07-MAY-18","Item Updated"
"a8k16000000fzO6AAI","100152404707W402","0","0","06-MAY-18","Item Updated"
