"ID","NAME","EXTERNAL ID","DATA CENTER","STATUS"
"a9K1L000000GmwqUAC","capl002","capl002","Rogers CoLo Data Center","Item Updated"
"a9K1L000000GmwrUAC","CDD001","CDD001","Rogers CoLo Data Center","Item Updated"
"a9K1L000000GmwsUAC","cdd001b","cdd001b","Rogers CoLo Data Center","Item Updated"
"a9K1L000000GmwtUAC","cdd001c","cdd001c","","Item Updated"
"a9K1L000000GmwuUAC","CDD002","CDD002","WCP Data Center","Item Updated"
"a9K1L000000GmwvUAC","cdd002b","cdd002b","","Item Updated"
"a9K1L000000GmwwUAC","cdd002c","cdd002c","","Item Updated"
"a9K1L000000GmwxUAC","CDSSMTP001PD","CDSSMTP001PD","","Item Updated"
"a9K1L000000GmwyUAC","CDSXCHM001PD","CDSXCHM001PD","","Item Updated"
"a9K1L000000GmwzUAC","cf2-vcenter-01.hq","cf2-vcenter-01.hq","","Item Updated"
"a9K1L000000Gmx0UAC","cf2-vsql-01.hq","cf2-vsql-01.hq","","Item Updated"
"a9K1L000000Gmx1UAC","cfs015","cfs015","","Item Updated"
"a9K1L000000Gmx2UAC","cfs015.hq","cfs015.hq","","Item Updated"
"a9K1L000000Gmx3UAC","CGAAPP1018PD","CGAAPP1018PD","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000Gmx4UAC","CGAAPP708PD","CGAAPP708PD","","Item Updated"
"a9K1L000000Gmx5UAC","CGAAPP726PP","CGAAPP726PP","","Item Updated"
"a9K1L000000Gmx6UAC","CGAAPP727PP","CGAAPP727PP","","Item Updated"
"a9K1L000000Gmx7UAC","CGAAPP728PP","CGAAPP728PP","","Item Updated"
"a9K1L000000Gmx8UAC","CGAAPP729PP","CGAAPP729PP","","Item Updated"
"a9K1L000000Gmx9UAC","CGAAPP730PP","CGAAPP730PP","","Item Updated"
"a9K1L000000GmxAUAS","CGAAPP731PP","CGAAPP731PP","","Item Updated"
"a9K1L000000GmxBUAS","CGAAPP798PD","CGAAPP798PD","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxCUAS","CGAAPP799PD","CGAAPP799PD","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxDUAS","CGAAPP802PD","CGAAPP802PD","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxEUAS","CGAAPP812PD","CGAAPP812PD","","Item Updated"
"a9K1L000000GmxFUAS","CGAAPP813PD","CGAAPP813PD","","Item Updated"
"a9K1L000000GmxGUAS","CGAAPP912TS","CGAAPP912TS","","Item Updated"
"a9K1L000000GmxHUAS","CGADC01","CGADC01","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GoBnUAK","CGADC01-New","CGADC01-New","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GmxIUAS","CGADC02","CGADC02","","Item Updated"
"a9K1L000000GmxJUAS","CGADFS803PD","CGADFS803PD","","Item Updated"
"a9K1L000000GmxKUAS","CGADFS804PD","CGADFS804PD","","Item Updated"
"a9K1L000000GmxLUAS","CGADHCP01","CGADHCP01","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxMUAS","CGADHCP801PD","CGADHCP801PD","","Item Updated"
"a9K1L000000GmxNUAS","CGADMIN001NP","CGADMIN001NP","","Item Updated"
"a9K1L000000GmxOUAS","CGADMIN001PD","CGADMIN001PD","","Item Updated"
"a9K1L000000GoBoUAK","CGAIGN001PD","CGAIGN001PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoBpUAK","CGAIGN002PD","CGAIGN002PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoBqUAK","CGAIGN003PD","CGAIGN003PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoBrUAK","CGAIGN004PD","CGAIGN004PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoBsUAK","CGAIGN005PD","CGAIGN005PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoBtUAK","CGAIGN006PD","CGAIGN006PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoBuUAK","CGAIGN007PD","CGAIGN007PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoBvUAK","CGAIGN009PD","CGAIGN009PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoBwUAK","CGAIGN010PD","CGAIGN010PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GmxPUAS","CGANWR1100PD","CGANWR1100PD","","Item Updated"
"a9K1L000000GmxQUAS","CGANWR1150PD","CGANWR1150PD","","Item Updated"
"a9K1L000000GmxRUAS","CGANWR1151PD","CGANWR1151PD","","Item Updated"
"a9K1L000000GmxSUAS","CGASAPSRM01","CGASAPSRM01","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxTUAS","CGASAPVRA01","CGASAPVRA01","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxUUAS","CGASAPVRA02","CGASAPVRA02","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GoBxUAK","CGASCOM001PD","CGASCOM001PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoByUAK","CGASCOM002PD","CGASCOM002PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GoBzUAK","CGASCOM003PD","CGASCOM003PD","Rogers Airdrie - New Data Center","Item Created"
"a9K1L000000GmxVUAS","CGASQL707PD","CGASQL707PD","","Item Updated"
"a9K1L000000GmxWUAS","CGASQL800PD","CGASQL800PD","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxXUAS","CGASSO806PD","CGASSO806PD","","Item Updated"
"a9K1L000000GmxYUAS","CGAVCCP01","CGAVCCP01","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxZUAS","CGAVCMGT01","CGAVCMGT01","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxaUAC","CGAVCOLL01","CGAVCOLL01","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GmxbUAC","CGAVCOLL02","CGAVCOLL02","Rogers Airdrie - New Data Center","Item Updated"
"a9K1L000000GoC0UAK","CGAVCPRD01","CGAVCPRD01","Rogers Airdrie - New Data Center","Item Created"
