"ID","WELL_LOCATION","SUM(TX.VOLUME)","STATUS"
"a8k1L000000Kyt8QAC","111083504728W302","0","Item Updated"
"a8k16000000g0g7AAA","100142004704W400","1.17","Item Updated"
"a8k16000000g01HAAQ","1C0061804704W400","1.17","Item Updated"
"a8k16000000g0QQAAY","1C0062004704W400","1.17","Item Updated"
"a8k16000000g01MAAQ","1C0081904704W400","1.17","Item Updated"
"a8k16000000g0RGAAY","1C0121904704W400","1.17","Item Updated"
"a8k16000000g0RKAAY","1C0141904704W400","1.17","Item Updated"
"a8k16000000g07MAAQ","100021904704W400","1.17","Item Updated"
"a8k16000000g0agAAA","100141604704W400","1.17","Item Updated"
"a8k16000000g04fAAA","100141804704W400","1.17","Item Updated"
"a8k16000000g0RLAAY","100151904704W400","1.17","Item Updated"
"a8k16000000fzQCAAY","111010304525W300","0","Item Updated"
"a8k16000000g0QUAAY","102082004704W400","1.17","Item Updated"
"a8k16000000g0UwAAI","1B0053004704W400","1.17","Item Updated"
"a8k16000000fzvCAAQ","1B0013204506W400","1.2","Item Updated"
"a8k16000000g01IAAQ","1C0021904704W400","1.17","Item Updated"
"a8k16000000g0gTAAQ","100142304804W400","1.3802","Item Updated"
"a8k16000000fzvGAAQ","1B0033204506W400","1.2","Item Updated"
"a8k16000000fzvJAAQ","1B0053204506W400","1.2","Item Updated"
"a8k16000000fzvNAAQ","1B0073204506W400","1.2","Item Updated"
"a8k16000000g0H8AAI","1B0153304506W400","1.2","Item Updated"
"a8k16000000g0JgAAI","1D0030504606W400","1.2","Item Updated"
"a8k16000000g0aKAAQ","1D0133204506W400","1.2","Item Updated"
"a8k16000000g0H7AAI","1D0143304506W400","1.2","Item Updated"
"a8k16000000g0NlAAI","100023104404W400","0.79872","Item Updated"
"a8k16000000g0ReAAI","100061404505W400","0","Item Updated"
"a8k16000000fzxCAAQ","100070104706W400","2.07946","Item Updated"
"a8k16000000fyoJAAQ","102073005001W400","2.3048","Item Updated"
"a8k16000000fzQ7AAI","111093404425W300","0","Item Updated"
"a8k16000000fyt7AAA","100081905201W400","3.19776","Item Updated"
"a8k16000000g0l5AAA","100103305202W400","0.79872","Item Updated"
"a8k16000000g0ZGAAY","100143105201W402","2.79824","Item Updated"
"a8k16000000g08UAAQ","111120205027W300","2.0952","Item Updated"
"a8k16000000fzAuAAI","111100904826W302","2.09696","Item Updated"
"a8k16000000g0jQAAQ","111030704825W300","0","Item Updated"
"a8k16000000fyOnAAI","111132804924W300","1.3992","Item Updated"
"a8k16000000g041AAA","111063204825W300","2.39888","Item Updated"
"a8k16000000fxbrAAA","111040205025W300","2.09424","Item Updated"
"a8k16000000fz1IAAQ","111080705223W300","1.5992","Item Updated"
"a8k16000000fz9nAAA","111021705223W300","1.6","Item Updated"
"a8k16000000fzCdAAI","111113105022W302","1.4","Item Updated"
"a8k16000000fz7CAAQ","131021705223W300","2.4","Item Updated"
"a8k16000000g0O7AAI","111113104924W300","3.49232","Item Updated"
"a8k16000000fyNQAAY","111052704822W303","2.1","Item Updated"
"a8k16000000fyJEAAY","111062604822W302","2.1","Item Updated"
"a8k16000000g0o2AAA","112020605024W300","2.79328","Item Updated"
"a8k16000000fz9tAAA","111152404920W300","1.4","Item Updated"
"a8k16000000fz5xAAA","191062404920W300","3.19552","Item Updated"
"a8k16000000fxtPAAQ","101121604922W300","1.4","Item Updated"
"a8k16000000fxeVAAQ","111102404923W303","2.09504","Item Updated"
"a8k16000000fxkoAAA","111111104922W302","2.1","Item Updated"
"a8k16000000fxshAAA","111113504822W300","0","Item Updated"
"a8k16000000fyJWAAY","111130304922W302","1.6","Item Updated"
"a8k16000000fxpAAAQ","111131504922W300","1.3968","Item Updated"
"a8k16000000fxhRAAQ","111162604923W300","0.7004","Item Updated"
"a8k16000000fxnbAAA","111163104922W300","1.396","Item Updated"
"a8k16000000g06VAAQ","101111704627W302","1.3968","Item Updated"
"a8k16000000g03VAAQ","111051704627W300","2.0924","Item Updated"
"a8k16000000fzcWAAQ","111103304920W300","4.2","Item Updated"
"a8k16000000g06TAAQ","111101704627W300","2.1","Item Updated"
"a8k16000000fzsPAAQ","111110104727W302","0.1","Item Updated"
"a8k16000000g03WAAQ","121061704627W300","1.3976","Item Updated"
"a8k16000000fzyVAAQ","111102305125W300","3.2048","Item Updated"
"a8k16000000fxqhAAA","131132905024W303","2.1","Item Updated"
"a8k16000000fxYQAAY","121143505126W302","2.4008","Item Updated"
"a8k16000000fxzAAAQ","131061205126W300","2.4","Item Updated"
"a8k16000000g060AAA","101030605326W300","2.4","Item Updated"
"a8k16000000g0KvAAI","111063104924W300","1.39776","Item Updated"
"a8k16000000fyGDAAY","111021004821W300","2.09","Item Updated"
"a8k16000000g0EUAAY","141063405027W302","1.39952","Item Updated"
"a8k16000000fxcxAAA","111010105226W300","2.1016","Item Updated"
"a8k16000000fyWpAAI","111061204822W302","1.4","Item Updated"
"a8k16000000g0CYAAY","111162705027W302","1.39952","Item Updated"
"a8k16000000fy82AAA","111093304922W300","2.40024","Item Updated"
"a8k16000000fxzdAAA","111162705023W300","2.3992","Item Updated"
"a8k16000000fxvuAAA","111020605022W300","1.6","Item Updated"
"a8k16000000fyWoAAI","111051204822W303","1.98","Item Updated"
"a8k16000000fyVpAAI","111041705122W300","2.79888","Item Updated"
"a8k16000000fxjTAAQ","111083104922W300","2.40016","Item Updated"
"a8k16000000fz4UAAQ","101143504821W300","3.20072","Item Updated"
"a8k16000000g1DAAAY","191140705024W302","3.2","Item Updated"
"a8k16000000g073AAA","111152304826W300","2.0952","Item Updated"
"a8k16000000g0ibAAA","111140505024W305","0","Item Updated"
"a8k16000000g0ElAAI","121122305024W300","0","Item Updated"
"a8k16000000g0NzAAI","100040504504W400","0","Item Updated"
"a8k16000000fy4gAAA","121091404824W300","2.39904","Item Updated"
"a8k16000000fyByAAI","111133404922W302","2.0972","Item Updated"
"a8k16000000fz5OAAQ","101050805223W300","0","Item Updated"
"a8k16000000fxvpAAA","112141504923W302","0","Item Updated"
"a8k16000000fyk8AAA","100142505306W400","2.4","Item Updated"
"a8k16000000g0spAAA","191122504926W300","3.2","Item Updated"
"a8k16000000fyjWAAQ","102031005001W400","3.20192","Item Updated"
"a8k16000000fyl5AAA","100122405001W400","2.0908","Item Updated"
"a8k16000000g0SdAAI","111032205127W303","1.39952","Item Updated"
"a8k16000000g0UJAAY","100151604906W400","4.1904","Item Updated"
"a8k16000000g0UWAAY","100052004906W400","4.1904","Item Updated"
"a8k16000000fyo5AAA","102111805006W400","4.2919","Item Updated"
"a8k16000000fzoSAAQ","111092504527W302","3.2","Item Updated"
"a8k16000000g0BuAAI","191062205027W300","1.39952","Item Updated"
"a8k16000000g0Q4AAI","111012504728W300","3.19888","Item Updated"
"a8k16000000fyPgAAI","191150905027W300","2.4","Item Updated"
"a8k16000000fy4hAAA","121101404824W300","1.3984","Item Updated"
"a8k16000000g0kiAAA","106052105207W400","2.80024","Item Updated"
"a8k16000000g051AAA","141072105026W300","2.79968","Item Updated"
"a8k16000000g0VmAAI","100042704706W400","0.79872","Item Updated"
"a8k16000000fy16AAA","111052304922W300","0","Item Updated"
"a8k16000000g0PLAAY","111162004427W300","0","Item Updated"
"a8k16000000fxZBAAY","111152304925W300","2.096","Item Updated"
"a8k16000000fxy0AAA","141080404927W303","2.096","Item Updated"
"a8k16000000g0QKAAY","102042004704W400","1.17","Item Updated"
"a8k16000000fzo6AAA","121151104627W300","0.79872","Item Updated"
"a8k16000000fymkAAA","100100605006W400","2.8056","Item Updated"
"a8k16000000g0XuAAI","101103204322W302","2.09504","Item Updated"
"a8k16000000g0PJAAY","101122004427W300","2.79456","Item Updated"
"a8k16000000fxsHAAQ","111152104822W300","3.2","Item Updated"
"a8k16000000g0LtAAI","111031404427W300","2.1","Item Updated"
"a8k16000000fycwAAA","105022504802W400","12.0608","Item Updated"
"a8k16000000fyeaAAA","105092504802W400","12.0608","Item Updated"
"a8k16000000fxcYAAQ","112011705024W300","2.8024","Item Updated"
"a8k16000000fyqbAAA","100142305006W400","2.1032","Item Updated"
"a8k16000000fykIAAQ","100142905306W400","2.1008","Item Updated"
"a8k16000000fzZhAAI","111042305022W300","2.4","Item Updated"
"a8k16000000fyctAAA","102022504802W400","12.0608","Item Updated"
"a8k16000000fycsAAA","100022504802W400","12.0608","Item Updated"
"a8k16000000fzVYAAY","111051705019W302","2.57262","Item Updated"
"a8k16000000g0i2AAA","121122804925W302","2.0968","Item Updated"
"a8k16000000g0UeAAI","100012504402W400","0.69888","Item Updated"
"a8k16000000fz4SAAQ","111070705019W300","1.39944","Item Updated"
"a8k16000000fzEFAAY","101032304826W300","2.09424","Item Updated"
"a8k16000000g0PuAAI","191052004627W300","2.40016","Item Updated"
"a8k16000000fyliAAA","100061505005W400","2.1008","Item Updated"
"a8k16000000g01AAAQ","111081105024W304","2.09616","Item Updated"
"a8k16000000g0qVAAQ","100112305302W400","2.30048","Item Updated"
"a8k16000000g0tZAAQ","111152804727W300","1.396","Item Updated"
"a8k16000000g0pBAAQ","100080105004W400","3.2","Item Updated"
"a8k16000000g0TBAAY","191101104828W300","3.17856","Item Updated"
"a8k16000000fxdOAAQ","191092404925W300","2.09424","Item Updated"
"a8k16000000g0efAAA","107041505207W400","2.1","Item Updated"
"a8k16000000fyk3AAA","113101005207W400","0","Item Updated"
"a8k16000000fxzRAAQ","111083204722W302","2.1","Item Updated"
"a8k16000000fynXAAQ","100143505005W400","0","Item Updated"
"a8k16000000fzUsAAI","111011505120W300","4.1984","Item Updated"
"a8k16000000g0WzAAI","141022304828W300","0","Item Updated"
"a8k16000000g0PDAAY","131042004427W300","0.79872","Item Updated"
"a8k16000000g0nYAAQ","100131304601W400","0","Item Updated"
"a8k16000000g0lwAAA","100132704906W400","2.1032","Item Updated"
"a8k16000000g0RgAAI","104101104507W400","2.09808","Item Updated"
"a8k16000000fy88AAA","111163304922W300","0","Item Updated"
"a8k16000000g1ycAAA","111161204528W300","2.7968","Item Updated"
"a8k16000000g1zbAAA","111163104723W303","2.45","Item Updated"
"a8k16000000g0RRAAY","102032104704W400","1.17","Item Updated"
"a8k16000000g1FEAAY","100032505205W400","2.4016","Item Updated"
"a8k16000000fz0mAAA","111043505021W302","3.2","Item Updated"
"a8k16000000g1mYAAQ","100120105101W400","2.3984","Item Updated"
"a8k16000000g21IAAQ","100160204601W402","0","Item Updated"
"a8k16000000g1F2AAI","191133505120W300","0","Item Updated"
"a8k16000000g1M2AAI","100082104701W400","3.2","Item Updated"
"a8k16000000g1A1AAI","111141904822W303","2.1","Item Updated"
"a8k16000000fxY9AAI","111051605024W300","4.0048","Item Updated"
"a8k16000000g1tfAAA","101053205123W300","1.6","Item Updated"
"a8k16000000g1tkAAA","111023205123W300","3.28","Item Updated"
"a8k16000000g21BAAQ","100020504902W400","2.1","Item Updated"
"a8k16000000g10iAAA","102083305101W400","1.3968","Item Updated"
"a8k16000000g12KAAQ","100153105101W400","1.4984","Item Updated"
"a8k16000000g1e2AAA","100053104805W400","2.79712","Item Updated"
"a8k16000000g1u6AAA","111042705126W303","0","Item Updated"
"a8k16000000g0tdAAA","191102904727W300","2.09488","Item Updated"
