"ID","U_APPLICATION","EXTERNAL_ID","NAME","USED_FOR","HOST_NAME","MANUFACTURER","MODEL_ID","OS","OS_VERSION","SHORT_DESCRIPTION","SYS_CLASS_NAME","SYS_CREATED_ON","SYS_CREATED_BY","U_CMDB_CRITICALITY","STATUS"
"a8m6300000003KgAAI","AVEVA NET","CGWAPP599PD","CGWAPP599PD","Production","CGWAPP599PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1.7601","Aveva Net Portal Application - Streaming Server



20150821 - Added related Application, as per data collected from recent patching","Windows Server","2014-03-10 13:05","mid_husky","(2) Productivity Important","Item Updated"
"a8m63000000039zAAA","HP ALM On Premise","CGWAPP603PD","CGWAPP603PD","Production","CGWAPP603PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","Load Runner-Load Injector APP Server","Windows Server","2014-03-31 13:25","mid_husky","(1) Non-Critical","Item Updated"
"a8m6300000003C0AAI","HP ALM On Premise","CGWAPP604PD","CGWAPP604PD","Production","CGWAPP604PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","Load Runner-Load Injector APP Server","Windows Server","2014-03-24 13:26","mid_husky","(1) Non-Critical","Item Updated"
"a8m630000000384AAA","Volumetric Data Collector (VDC)","CGWAPP607PD","CGWAPP607PD","Production","CGWAPP607PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","VDC IIS Prod Server

20150902 - Added related Application, confirmed environment is set as PROD, as per data collected from recent patching","Windows Server","2014-03-27 14:36","mid_husky","(4) Business Critical","Item Updated"
"a8m6300000004PRAAY","ServiceNOW IS CMDB","CGWAPP609TS","CGWAPP609TS","Test","CGWAPP609TS","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","CMDB POC server","Windows Server","2014-03-28 11:03","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000004PSAAY","","CGWAPP614NP","CGWAPP614NP","","CGWAPP614NP","VMware, Inc.","VMware, Inc. VMware Virtual Platform","","Microsoft Windows Server 2008 R2 (64-bit","This server is hosted in WCP_DMZ zone.

Checking server it appears to be a sharepoint server. 2016_confirmed_vcenter

","Windows Server","2016-09-16 10:08","neishg","(1) Non-Critical","Item Created"
"a8m6300000003KtAAI","SharePoint Extranet IIS Proxies (ECM)","cgwapp615pd","cgwapp615pd","Production","cgwapp615pd","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise ","6.1","Sharepoint Extranet (IIS) Proxy Server","Windows Server","2014-06-03 9:18","zcs2x","(2) Productivity Important","Item Updated"
"a8m6300000003CVAAY","Winshuttle","CGWAPP629PD","CGWAPP629PD","Production","CGWAPP629PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","","Windows Server","2014-04-11 9:59","mid_husky","(4) Business Critical","Item Updated"
"a8m6300000004PTAAY","","cgwapp630pd.hq","cgwapp630pd.hq","Production","CGWAPP630PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Enterprise ","6.1.7601","","Windows Server","2014-04-11 9:59","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000003LYAAY","Land Reports (SSRS)","CGWAPP631PD","CGWAPP631PD","Production","CGWAPP631PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard","6.1.7601","","Windows Server","2014-04-11 11:26","mid_husky","(3) Business Important","Item Updated"
"a8m6300000004PUAAY","Ping Identity","CGWAPP634TS","CGWAPP634TS","Test","CGWAPP634TS","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2012 R2 Standard","6.3.9600","Ping? INC0218093","Windows Server","2014-04-14 9:15","mid_husky","(1) Non-Critical","Item Created"
"a8m6300000004PVAAY","IPS (Integrated Pipeline System - Midstream)","cgwapp641pd","cgwapp641pd","Production","CGWAPP641PD","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1.7601","External Production Web Server (IIS) IPSPROD_WEB server in DMZ

2016_confirmed_vcenter

","Windows Server","2015-03-17 8:43","zcs2x","(5) Mission Critical","Item Created"
"a8m6300000004PWAAY","IPS (Integrated Pipeline System - Midstream)","CGWAPP643TS","CGWAPP643TS","Test","CGWAPP643TS","VMware, Inc.","VMware, Inc. VMware Virtual Platform","Windows 2008 R2 Standard ","6.1","IPS App Server (DMZ)  Test Server","Windows Server","2015-12-08 9:09","hashmm","(1) Non-Critical","Item Created"
